假 0.90
案件 0.5234132904854816 5
集资 0.5234132904854816 5
紧急 0.5405891301341447 14
薄弱 0.5785601014906439 4
受不了 0.6107335364424654 7
解锁 0.6466959727736812 3
贾跃亭 0.6466959727736812 3
顽疾 0.6466959727736812 3
政治 0.6466959727736812 3
法院 0.687158624326666 5
案例 0.7017953321364453 7
不良 0.7093500281920169 9
有毒 0.7330225829783814 2
异常 0.7330225829783814 2
发愁 0.7330225829783814 2
不可 0.7330225829783814 2
烂 0.7330225829783814 2
银保监 0.7803730321697467 17
推迟 0.7854467168998923 3
盲区 0.7854467168998923 3
套现 0.7854467168998923 3
纠纷 0.7854467168998923 3
质疑 0.814575007256246 5
诈骗 0.8247705454161831 28
难过 0.8459469486180672 1
红黑榜 0.8459469486180672 3
惩罚 0.8459469486180672 1
缴纳 0.8459469486180672 2
欺诈 0.8459469486180672 2
巨亏 0.8459469486180672 7
老赖 0.8459469486180672 1
不易 0.8459469486180672 1
阵痛 0.8459469486180672 1
罰 0.8459469486180672 1
雷 0.8459469486180672 1
天雷 0.8459469486180672 1
薅 0.8459469486180672 1
瓶颈 0.8459469486180672 1
病 0.8459469486180672 1
倒闭 0.8459469486180672 2
后悔 0.8459469486180672 1
悲剧 0.8459469486180672 1
可怜 0.8459469486180672 2
滞留 0.8459469486180672 1
苦 0.8459469486180672 1
弱 0.8459469486180672 2
撒谎 0.8459469486180672 1
吃瓜 0.8459469486180672 1
否则 0.8459469486180672 1
停息 0.8459469486180672 1
非法交易 0.8459469486180672 1
患病 0.8459469486180672 1
崩溃 0.8459469486180672 1
激活 0.8798321556900669 3
拖欠 0.8830477296930971 8
挪用 0.8917386345119765 4
怕 0.8917386345119765 2
疯狂 0.8917386345119765 2
竟 0.8954672694867638 75
监管局 0.9057468329290264 8
挖坑 0.9165452444355122 1
过高 0.9165452444355122 1
破产 0.9165452444355122 2
遭罰 0.9165452444355122 1
違法 0.9165452444355122 1
累 0.9165452444355122 1
踩 0.9165452444355122 1
追查 0.9165452444355122 1
被迫 0.9165452444355122 1
害 0.9165452444355122 1
顶风 0.9165452444355122 1
公安局 0.9165452444355122 1
不要脸 0.9165452444355122 1
损失 0.9165452444355123 3
虚假 0.9235520453624949 5
受贿 0.9526843534572802 3
冒用 0.95645562983353 1
故障 0.95645562983353 1
迟迟 0.95645562983353 1
被 0.9611513017633312 91
不得 0.9624426238157329 3
欠款 0.9648584606270891 3
诉求 0.9648584606270894 1
驳回 0.9648584606270894 1
反诉 0.9648584606270894 1
错误 0.9648584606270894 1
不合理 0.9648584606270894 1
退市 0.9648584606270894 1
传染 0.97054285562275 1
不好 0.9777432365434348 1
放弃 0.9777432365434348 2
犯罪 0.9821149766880942 1
维权 0.982952125339341 12
暴雷 0.9837144089732528 1
爆雷 0.9837144089732528 1
行骗 0.9837144089732528 1
注销 0.9837144089732528 1
骗局 0.9850512541286798 1
保护伞 0.9850512541286798 1
出事 0.9850512541286798 1
严重 0.9856406177733016 2
骗 0.9861852720528302 2
垃圾 0.9871593676317112 2
套取 0.9871593676317112 1
恶意 0.9893236747191719 8
非法 0.989574703120685 7
案 0.9896030462678004 3
违规 0.9896522776981458 12
套路 0.9899842618443189 7
强制 0.9905064014631916 1
黑 0.9911234065597367 6
法律 0.9911949385474564 6
密码 0.9917903550263687 1
损害 0.9921444921586803 1
违法 0.9935381969974597 6
涉嫌 0.9943413517389867 4
暴力 0.9946093586207747 5
罚 0.9953914919709488 3
黑名单 0.9953914919709488 3
投诉 0.9959308863122464 7
罚单 0.9968967163297926 2
网贷 0.9969487132148641 2
违约 0.9969740636630773 2
居然 0.9972893493132802 2
起诉 0.9973093741824653 2
限制 0.9977001467696824 1
催收 0.9982929918631926 2
怼 0.9984051159195548 1
亟待 0.998432570819772 1
处罚 0.9989663693552472 1
假理财 0.9989663693552472 1
